"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3496","Add items to cart and validate","chromium","Wed Sep 10 11:01:47 IST 2025","failed","Wed Sep 10 11:01:51 IST 2025","","cart.spec.js","",""
"","9536","should successfully log in with valid credentials","chromium","Wed Sep 10 11:54:13 IST 2025","passed","Wed Sep 10 11:54:22 IST 2025","OrangeHRM Login Scenarios","login.test.js","",""
"","12240","should successfully log in with valid credentials","webkit","Wed Sep 10 11:54:13 IST 2025","passed","Wed Sep 10 11:54:25 IST 2025","OrangeHRM Login Scenarios","login.test.js","",""
"","3810","has title","chromium","Wed Sep 10 11:01:47 IST 2025","failed","Wed Sep 10 11:01:51 IST 2025","","example.spec.js","",""
"","3635","get started link","chromium","Wed Sep 10 11:01:48 IST 2025","failed","Wed Sep 10 11:01:51 IST 2025","","example.spec.js","",""
"","0","Smoke test - site accessibility","firefox","Wed Sep 10 11:01:55 IST 2025","skipped","Wed Sep 10 11:01:55 IST 2025","","smoke_test.spec.js","",""
"","0","Lab 3.2: Product sorting - low to high","chromium","Wed Sep 10 11:01:55 IST 2025","skipped","Wed Sep 10 11:01:55 IST 2025","","sort.spec.js","",""
"","3305","End-to-End Checkout Flow","chromium","Wed Sep 10 11:01:48 IST 2025","failed","Wed Sep 10 11:01:51 IST 2025","","checkout.spec.js","",""
"","0","Lab 3.2: Product sorting - low to high","webkit","Wed Sep 10 11:01:55 IST 2025","skipped","Wed Sep 10 11:01:55 IST 2025","","sort.spec.js","",""
"","0","Smoke test - site accessibility","webkit","Wed Sep 10 11:01:55 IST 2025","skipped","Wed Sep 10 11:01:55 IST 2025","","smoke_test.spec.js","",""
"","12010","should successfully log in with valid credentials","firefox","Wed Sep 10 11:54:13 IST 2025","passed","Wed Sep 10 11:54:25 IST 2025","OrangeHRM Login Scenarios","login.test.js","",""
"","0","Successful login navigates to inventory page","chromium","Wed Sep 10 11:01:55 IST 2025","skipped","Wed Sep 10 11:01:55 IST 2025","","login.spec.js","",""
"","1","Locator strategy mastery","firefox","Wed Sep 10 11:01:55 IST 2025","skipped","Wed Sep 10 11:01:55 IST 2025","","inventary.spec.js","",""
"","0","Lab 3.2: Product sorting - low to high","firefox","Wed Sep 10 11:01:55 IST 2025","skipped","Wed Sep 10 11:01:55 IST 2025","","sort.spec.js","",""
"","8676","Successful login test","chromium","Wed Sep 10 11:03:03 IST 2025","passed","Wed Sep 10 11:03:11 IST 2025","","sample.test.js","",""
"","13836","Successful login test","firefox","Wed Sep 10 11:03:03 IST 2025","passed","Wed Sep 10 11:03:17 IST 2025","","sample.test.js","",""
"","19282","Failed login test","firefox","Wed Sep 10 11:03:02 IST 2025","failed","Wed Sep 10 11:03:21 IST 2025","","sample.test.js","",""
"","3","Smoke test - site accessibility","chromium","Wed Sep 10 11:01:55 IST 2025","skipped","Wed Sep 10 11:01:55 IST 2025","","smoke_test.spec.js","",""
"","16267","Failed login test","webkit","Wed Sep 10 11:03:41 IST 2025","failed","Wed Sep 10 11:03:57 IST 2025","","sample.test.js","",""
"","1","Locator strategy mastery","chromium","Wed Sep 10 11:01:55 IST 2025","skipped","Wed Sep 10 11:01:55 IST 2025","","inventary.spec.js","",""
"","2","Successful login navigates to inventory page","firefox","Wed Sep 10 11:01:55 IST 2025","skipped","Wed Sep 10 11:01:55 IST 2025","","login.spec.js","",""
"","2","Successful login navigates to inventory page","webkit","Wed Sep 10 11:01:55 IST 2025","skipped","Wed Sep 10 11:01:55 IST 2025","","login.spec.js","",""
"","13263","Failed login test","chromium","Wed Sep 10 11:03:02 IST 2025","failed","Wed Sep 10 11:03:15 IST 2025","","sample.test.js","",""
"","0","Locator strategy mastery","webkit","Wed Sep 10 11:01:55 IST 2025","skipped","Wed Sep 10 11:01:55 IST 2025","","inventary.spec.js","",""
"","13574","Successful login test","webkit","Wed Sep 10 11:03:40 IST 2025","passed","Wed Sep 10 11:03:53 IST 2025","","sample.test.js","",""
